datetime,code,open,close,high,low,vol,amount,p_change
2005-01-04,000300,994.76,982.79,994.76,980.65,74128.0,4431975936.0,
2005-01-05,000300,981.57,992.56,997.32,979.87,71191.0,4529206784.0,0.99
2005-01-06,000300,993.33,983.17,993.78,980.33,62880.0,3921015040.0,-0.95
2005-01-07,000300,983.04,983.95,995.71,979.81,72986.0,4737467904.0,0.08
2005-01-10,000300,983.76,993.87,993.95,979.78,57916.0,3762930944.0,1.01
2005-01-11,000300,994.18,997.13,999.55,991.09,58490.0,3704076032.0,0.33
2005-01-12,000300,996.65,996.74,996.97,989.25,50145.0,3093297920.0,-0.04
2005-01-13,000300,996.07,996.87,999.47,992.69,60440.0,3842171904.0,0.01
2005-01-14,000300,996.61,988.3,1006.46,987.23,72978.0,4162919936.0,-0.86
2005-01-17,000300,979.11,967.45,981.52,965.07,72881.0,4249807104.0,-2.11
2005-01-18,000300,967.37,974.68,974.87,960.29,73118.0,4117944064.0,0.75
2005-01-19,000300,974.33,967.21,974.33,965.25,63380.0,3427951104.0,-0.77
2005-01-20,000300,963.21,956.24,963.21,952.23,77271.0,4399349248.0,-1.13
2005-01-21,000300,954.46,982.6,984.27,943.43,144500.0,8152086016.0,2.76
2005-01-24,000300,1001.85,998.13,1001.85,986.23,143594.0,8360160256.0,1.58
2005-01-25,000300,995.63,997.77,997.95,985.23,98625.0,6157022208.0,-0.04
2005-01-26,000300,995.78,989.92,999.47,988.47,76632.0,4719438848.0,-0.79
2005-01-27,000300,987.34,974.63,987.7,973.77,69453.0,4094396928.0,-1.54
2005-01-28,000300,974.63,969.2,975.62,965.2,57488.0,3280950016.0,-0.56
2005-01-31,000300,965.78,954.87,965.78,953.14,67887.0,3863571968.0,-1.48
2005-02-01,000300,953.33,955.95,965.47,952.74,74330.0,4275706112.0,0.11
2005-02-02,000300,956.7,1006.91,1006.93,956.7,170573.0,10202902528.0,5.33
2005-02-03,000300,1005.56,993.21,1014.18,992.15,169745.0,10057310208.0,-1.36
2005-02-04,000300,992.25,1016.85,1021.02,989.93,157362.0,9549871104.0,2.38
2005-02-16,000300,1023.32,1023.58,1033.24,1018.48,121312.0,7438168064.0,0.66
2005-02-17,000300,1024.43,1020.6,1024.43,1010.47,89682.0,5513061888.0,-0.29
2005-02-18,000300,1020.12,1006.05,1021.19,1005.63,81399.0,4817732096.0,-1.43
2005-02-21,000300,1006.69,1025.63,1025.65,1006.69,98860.0,6052395008.0,1.95
2005-02-22,000300,1026.83,1046.74,1048.67,1024.52,179378.0,10922774528.0,2.06
2005-02-23,000300,1046.81,1043.93,1049.6,1036.62,186969.0,11231938560.0,-0.27
2005-02-24,000300,1042.25,1045.46,1045.95,1034.73,146817.0,8993752064.0,0.15
2005-02-25,000300,1046.27,1046.76,1059.48,1045.98,181700.0,11489958912.0,0.12
2005-02-28,000300,1046.2,1039.98,1048.27,1035.03,129710.0,8190099968.0,-0.65
2005-03-01,000300,1039.35,1035.93,1042.73,1031.16,99620.0,6288790016.0,-0.39
2005-03-02,000300,1036.36,1021.32,1045.76,1021.0,142251.0,8971308032.0,-1.41
2005-03-03,000300,1019.87,1027.71,1028.4,1014.75,92030.0,5582812160.0,0.63
2005-03-04,000300,1027.92,1023.66,1031.84,1022.17,81736.0,5383865856.0,-0.39
2005-03-07,000300,1024.48,1029.87,1031.34,1024.48,79329.0,5316471808.0,0.61
2005-03-08,000300,1033.78,1048.98,1049.28,1032.85,142957.0,9851274240.0,1.86
2005-03-09,000300,1051.26,1046.54,1054.64,1041.98,153274.0,9877621760.0,-0.23
2005-03-10,000300,1046.68,1022.41,1046.68,1019.63,132959.0,8380547072.0,-2.31
2005-03-11,000300,1021.08,1027.42,1028.11,1016.93,114763.0,7654557184.0,0.49
2005-03-14,000300,1027.17,1031.02,1041.56,1014.92,144660.0,10229429248.0,0.35
2005-03-15,000300,1030.85,1013.52,1030.93,1011.64,120074.0,8091209216.0,-1.7
2005-03-16,000300,1011.85,1003.06,1012.19,995.96,106227.0,7153743872.0,-1.03
2005-03-17,000300,1001.96,992.86,1004.82,992.12,99690.0,6535059968.0,-1.02
2005-03-18,000300,991.88,978.66,996.39,975.7,96520.0,6314991104.0,-1.43
2005-03-21,000300,977.29,981.89,983.17,973.0,72525.0,4594520064.0,0.33
2005-03-22,000300,981.7,964.02,982.13,959.56,113757.0,6955307008.0,-1.82
2005-03-23,000300,962.81,959.01,975.36,955.99,109300.0,7092055040.0,-0.52
2005-03-24,000300,957.43,964.8,965.06,948.53,92607.0,6446642176.0,0.6
2005-03-25,000300,964.24,962.95,966.97,959.05,71073.0,4258127104.0,-0.19
2005-03-28,000300,961.65,960.69,961.65,948.8,66692.0,4141656064.0,-0.23
2005-03-29,000300,960.41,955.19,968.11,954.74,75773.0,4842148864.0,-0.57
2005-03-30,000300,952.71,937.03,952.71,936.37,89501.0,5459378176.0,-1.9
2005-03-31,000300,934.84,942.2,942.36,928.33,78594.0,4555320832.0,0.55
2005-04-01,000300,941.43,978.14,989.9,937.55,163475.0,10109403136.0,3.81
2005-04-04,000300,968.49,962.16,974.06,956.12,114350.0,7296500224.0,-1.63
2005-04-05,000300,960.54,955.59,967.74,953.58,95345.0,6069514240.0,-0.68
2005-04-06,000300,955.59,973.66,977.85,948.94,142824.0,9727653888.0,1.89
2005-04-07,000300,975.97,984.73,1000.26,974.3,207542.0,13260560384.0,1.14
2005-04-08,000300,984.66,1003.45,1003.7,979.53,147625.0,9151349760.0,1.9
2005-04-11,000300,1003.88,995.42,1008.73,992.77,159360.0,10436232192.0,-0.8
2005-04-12,000300,993.71,978.7,993.71,978.2,102261.0,6479563264.0,-1.68
2005-04-13,000300,987.95,1000.9,1006.5,987.95,160716.0,10029601792.0,2.27
2005-04-14,000300,1004.64,986.97,1006.42,985.58,129457.0,7813424640.0,-1.39
2005-04-15,000300,982.61,974.08,982.61,971.93,104089.0,6541675520.0,-1.31
2005-04-18,000300,970.91,963.77,970.91,958.65,85984.0,5329138688.0,-1.06
2005-04-19,000300,962.92,965.89,968.87,957.91,92126.0,5768907776.0,0.22
2005-04-20,000300,964.15,950.87,964.15,946.2,88507.0,5300003840.0,-1.56
2005-04-21,000300,948.86,943.98,955.55,938.59,99461.0,6140645888.0,-0.72
2005-04-22,000300,942.91,939.1,947.91,934.96,106918.0,6373550592.0,-0.52
2005-04-25,000300,935.99,930.07,935.99,920.16,114704.0,6667302912.0,-0.96
2005-04-26,000300,928.43,937.08,939.7,924.66,116904.0,7029372928.0,0.75
2005-04-27,000300,938.57,926.6,938.91,925.9,107806.0,6432845824.0,-1.12
2005-04-28,000300,923.53,942.07,945.5,914.83,143434.0,8315813888.0,1.67
2005-04-29,000300,940.81,932.4,942.45,929.81,112354.0,6853192192.0,-1.03
2005-05-09,000300,934.65,909.17,937.39,909.17,85291.0,4889696256.0,-2.49
2005-05-10,000300,905.54,913.08,913.39,892.31,104943.0,5960910848.0,0.43
2005-05-11,000300,911.84,901.85,917.22,900.44,90420.0,5128333312.0,-1.23
